Knockout Stage,Match Date,Match Time,Home Team Id,Home Team Name,Away Team Id,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin
0,6/10/1998,17:30,T-09,Brazil,T-62,Scotland,2,1,1,-1
0,6/10/1998,21:00,T-45,Morocco,T-51,Norway,2,2,0,0
0,6/11/1998,17:30,T-39,Italy,T-13,Chile,2,2,0,0
0,6/11/1998,21:00,T-11,Cameroon,T-05,Austria,1,1,0,0
0,6/12/1998,14:30,T-53,Paraguay,T-10,Bulgaria,0,0,0,0
0,6/12/1998,17:30,T-61,Saudi Arabia,T-21,Denmark,0,1,-1,1
0,6/12/1998,21:00,T-28,France,T-68,South Africa,3,0,3,-3
0,6/13/1998,14:30,T-71,Spain,T-48,Nigeria,2,3,-1,1
0,6/13/1998,17:30,T-69,South Korea,T-44,Mexico,1,3,-2,2
0,6/13/1998,21:00,T-46,Netherlands,T-06,Belgium,0,0,0,0
0,6/14/1998,14:30,T-03,Argentina,T-42,Japan,1,0,1,-1
0,6/14/1998,17:30,T-84,Yugoslavia,T-36,Iran,1,0,1,-1
0,6/14/1998,21:00,T-41,Jamaica,T-17,Croatia,1,3,-2,2
0,6/15/1998,14:30,T-27,England,T-76,Tunisia,2,0,2,-2
0,6/15/1998,17:30,T-59,Romania,T-15,Colombia,1,0,1,-1
0,6/15/1998,21:00,T-29,Germany,T-80,United States,2,0,2,-2
0,6/16/1998,17:30,T-62,Scotland,T-51,Norway,1,1,0,0
0,6/16/1998,21:00,T-09,Brazil,T-45,Morocco,3,0,3,-3
0,6/17/1998,17:30,T-13,Chile,T-05,Austria,1,1,0,0
0,6/17/1998,21:00,T-39,Italy,T-11,Cameroon,3,0,3,-3
