Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,Key ID,Tournament Name,Award Id,Award Name,Shared,Player Id,Family Name,Give Name,Team Id,Team Name,Team Code
610,WC-2002,2002 FIFA World Cup,M-2002-30,South Korea v United States,group stage,Group D,1,0,0,0,6/10/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-69,South Korea,KOR,T-80,United States,USA,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,99,2002 FIFA World Cup,A-5,Silver Boot,1,P-09998,Rivaldo,not applicable,T-09,Brazil,BRA
610,WC-2002,2002 FIFA World Cup,M-2002-30,South Korea v United States,group stage,Group D,1,0,0,0,6/10/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-69,South Korea,KOR,T-80,United States,USA,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,100,2002 FIFA World Cup,A-7,Golden Glove,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
610,WC-2002,2002 FIFA World Cup,M-2002-30,South Korea v United States,group stage,Group D,1,0,0,0,6/10/2002,15:30,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-69,South Korea,KOR,T-80,United States,USA,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,101,2002 FIFA World Cup,A-8,Best Young Player,0,P-03827,Donovan,Landon,T-80,United States,USA
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,94,2002 FIFA World Cup,A-1,Golden Ball,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,95,2002 FIFA World Cup,A-2,Silver Ball,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,96,2002 FIFA World Cup,A-3,Bronze Ball,0,P-04888,Hong,Myung-bo,T-69,South Korea,KOR
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,97,2002 FIFA World Cup,A-4,Golden Boot,0,P-08490,Ronaldo,not applicable,T-09,Brazil,BRA
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,98,2002 FIFA World Cup,A-5,Silver Boot,1,P-05224,Klose,Miroslav,T-29,Germany,DEU
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,99,2002 FIFA World Cup,A-5,Silver Boot,1,P-09998,Rivaldo,not applicable,T-09,Brazil,BRA
611,WC-2002,2002 FIFA World Cup,M-2002-31,Tunisia v Belgium,group stage,Group H,1,0,0,0,6/10/2002,18:00,S-089,?ita Stadium,?ita,Japan,T-76,Tunisia,TUN,T-06,Belgium,BEL,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,100,2002 FIFA World Cup,A-7,Golden Glove,0,P-06964,Kahn,Oliver,T-29,Germany,DEU
